registro;retorno;rentabilidade;empresa;tag;tipo;retabilidade_ano;prazo;distribuidor;emissor;meses;
507;6085;10900;RNX 109% CDI por modalmais;FGC;CDB;10.51% a.a.;06/10/2024;modalmais;RNX;24;6085
508;5.275;14.00;RNX Prefixado 14% por Órama;FGC;CDB;11.12% a.a.;20/04/2023;Órama;RNX;6;5275
509;5.264;13.90;RNX Prefixado 13.9% por modalmais;FGC;CDB;11.04% a.a.;16/04/2023;modalmais;RNX;6;5264
510;5.250;104.00;RNX 104% CDI por Órama;FGC;CDB;10.08% a.a.;20/04/2023;Órama;RNX;6;5250
511;5.244;104.00;RNX 104% CDI por Nu invest;FGC;CDB;10.08% a.a.;17/04/2023;Nu invest;RNX;6;5244
512;5.237;102.00;RNX 102% CDI por modalmais;FGC;CDB;9.89% a.a.;16/04/2023;modalmais;RNX;6;5237
513;6094;10800;Rodobens 108% CDI por Nu invest;FGC;CDB;10.42% a.a.;16/10/2024;Nu invest;Rodobens;24;6094
514;5.265;11.00;Rodobens Prefixado 11% por Nu invest;FGC;LCI;11.00% a.a.;17/04/2023;Nu invest;Rodobens;6;5265
515;5.265;11.00;Rodobens Prefixado 11% por Nu invest;FGC;LCA;11.00% a.a.;17/04/2023;Nu invest;Rodobens;6;5265
516;5.265;11.00;Rodobens Prefixado 11% por BTG Pactual;FGC;LCA;11.00% a.a.;17/04/2023;BTG Pactual;Rodobens;6;5265
517;5.265;11.00;Rodobens Prefixado 11% por BTG Pactual;FGC;LCI;11.00% a.a.;17/04/2023;BTG Pactual;Rodobens;6;5265
518;5.259;13.53;Rodobens Prefixado 13.53% por BTG Pactual;FGC;CDB;10.75% a.a.;17/04/2023;BTG Pactual;Rodobens;6;5259
519;5.244;83.00;Rodobens 83% CDI por BTG Pactual;FGC;LCI;10.12% a.a.;17/04/2023;BTG Pactual;Rodobens;6;5244
520;5.244;83.00;Rodobens 83% CDI por BTG Pactual;FGC;LCA;10.12% a.a.;17/04/2023;BTG Pactual;Rodobens;6;5244
521;5.244;83.00;Rodobens 83% CDI por Nu invest;FGC;LCA;10.12% a.a.;17/04/2023;Nu invest;Rodobens;6;5244
522;5.244;83.00;Rodobens 83% CDI por Nu invest;FGC;LCI;10.12% a.a.;17/04/2023;Nu invest;Rodobens;6;5244
523;5.236;100.50;Rodobens 100.5% CDI por BTG Pactual;FGC;CDB;9.74% a.a.;17/04/2023;BTG Pactual;Rodobens;6;5236
524;6095;11000;Santana Financeira 110% CDI por Daycoval;FGC;LC;10.61% a.a.;06/10/2024;Daycoval;Santana Financeira;24;6095
525;5939;1070;Santana Financeira Prefixado 10.7% por Daycoval;FGC;LC;9.15% a.a.;06/10/2024;Daycoval;Santana Financeira;24;5939
526;5.244;105.00;Santana Financeira 105% CDI por Daycoval;FGC;LC;10.18% a.a.;16/04/2023;Daycoval;Santana Financeira;6;5244
527;6118;11000;Santinvest Financeira 110% CDI por Guide Investimentos;FGC;CDB;10.61% a.a.;17/10/2024;Guide Investimentos;Santinvest Financeira;24;6118
528;6106;11100;Santinvest Financeira 111% CDI por modalmais;FGC;CDB;10.71% a.a.;06/10/2024;modalmais;Santinvest Financeira;24;6106
529;5752;865;Santinvest Financeira Prefixado 8.65% por modalmais;FGC;CDB;7.39% a.a.;06/10/2024;modalmais;Santinvest Financeira;24;5752
530;8439;11300;Santinvest Financeira 113% CDI por Guide Investimentos;FGC;CDB;11.04% a.a.;20/10/2027;Guide Investimentos;Santinvest Financeira;60;8439
531;5.524;108.00;Semear 108% CDI por Daycoval;FGC;CDB;10.61% a.a.;14/10/2023;Daycoval;Semear;12;5524
532;6106;11100;Semear 111% CDI por Daycoval;FGC;CDB;10.71% a.a.;06/10/2024;Daycoval;Semear;24;6106
533;5.232;99.00;Senff Financeira 99% CDI por BTG Pactual;FGC;CDB;9.60% a.a.;17/04/2023;BTG Pactual;Senff Financeira;6;5232
534;8420;1257;Socinal Financeira IPCA + 6.5% por  rama;FGC;CDB;11.02% a.a.;17/10/2027; rama;Socinal Financeira;60;8420
535;6145;11300;Sorocred Financeira 113% CDI por XP Investimentos;FGC;CDB;10.90% a.a.;15/10/2024;XP Investimentos;Sorocred Financeira;24;6145
536;5.569;116.85;Tesouro SELIC 2027;;Tesouro Direto;11.48% a.a.;16/10/2023;Rico Investimentos;Tesouro Nacional;12;5569
537;5.565;115.97;Tesouro SELIC 2024;;Tesouro Direto;11.39% a.a.;16/10/2023;Rico Investimentos;Tesouro Nacional;12;5565
538;6263;12366;Tesouro SELIC 2027;;Tesouro Direto;11.94% a.a.;16/10/2024;Rico Investimentos;Tesouro Nacional;24;6263
539;5.267;114.18;Tesouro SELIC 2027;;Tesouro Direto;11.06% a.a.;17/04/2023;Rico Investimentos;Tesouro Nacional;6;5267
540;5.265;113.32;Tesouro SELIC 2024;;Tesouro Direto;10.98% a.a.;17/04/2023;Rico Investimentos;Tesouro Nacional;6;5265
541;6127;11300;Top zio 113% CDI por modalmais;FGC;CDB;10.90% a.a.;06/10/2024;modalmais;Top zio;24;6127
542;5.526;108.00;Topázio 108% CDI por modalmais;FGC;CDB;10.61% a.a.;16/10/2023;modalmais;Topázio;12;5526
543;5.522;12.89;Tribanco Prefixado 12.89% por modalmais;FGC;CDB;10.63% a.a.;12/10/2023;modalmais;Tribanco;12;5522
544;6091;10800;Tribanco 108% CDI por modalmais;FGC;CDB;10.42% a.a.;15/10/2024;modalmais;Tribanco;24;6091
545;6047;1187;Tribanco Prefixado 11.87% por modalmais;FGC;CDB;10.16% a.a.;06/10/2024;modalmais;Tribanco;24;6047
546;8315;11000;Tribanco 110% CDI por modalmais;FGC;CDB;10.74% a.a.;15/10/2027;modalmais;Tribanco;60;8315
